Roll_no,Year,Branch,Section,Period,Status
245320748011,3,CSM,A,4,Absent
245320748058,3,CSM,A,4,Absent
245320748000,3,CSM,A,4,Absent
245320748304,3,CSM,A,4,Present
245320748300,3,CSM,A,4,Absent
304,3,CSM,A,4,Absent
245320748036,3,CSM,A,4,Present
245320748051,3,CSM,A,4,Absent
245320748302,3,CSM,A,4,Absent
245320748888,3,CSM,A,4,Absent
